poet,gender,
Geoff Page,M,
Bob Perelman,M,
Richard Owens,M,
Mary Karr,F,
Eric Gansworth,M,
Sarah White,F,
Luci Tapahonso,F,
Mahmoud Darwish,M,
J. M. Synge,,
Daniel Poppick,M,
Yvor Winters,M,
Timothy Steele,M,
Beverley Bie Brahic,F,
Robert Penn Warren,M,
Federico García Lorca,M,
Tatiana de la Tierra,F,
Barbara Köhler,F,
Jean Toomer,M,
Avis Harley,F,
Silvia Curbelo,F,
Marcus Slease,M,
Kevin Young,M,
Joseph Massey,M,
Susan Browne,F,
Conrad Hilberry,M,
Arthur Symons,M,
Tino Villanueva,M,
Matthew Arnold,M,
Elizabeth Metzger,F,
Kobayashi Issa,M,
Jean Blewett,F,
Sasha Dugdale,F,
Julian Stannard,M,
John Wheelwright,M,
Jeff Daniel Marion,M,
Carolyn Kizer,F,
Cheryl Savageau,F,
J. Allyn Rosser,F,
Karina Borowicz,F,
Ron Rash,M,
Giovanni Battista Guarini,M,
Geoffrey Chaucer,M,
David Shapiro,M,
Gaspara Stampa,F,
Trumbull Stickney,M,
Su Tung-Po,M,
Alurista,M,
Franco Fortini,M,
John Philip Johnson,M,
Truth Thomas,M,
W. S. Di Piero,M,
Tennessee Williams,M,
Tiffany Higgins,F,
Sarah C. Harwell,F,
Dana Ward,F,
Louis MacNeice,M,
Michael Lauchlan,M,
Thomas Nashe,M,
John Koethe,M,
Luis Chaves,M,
Dolores Hayden,F,
Yehudah Halevi,M,
William Stanley Braithwaite,M,
Langston Hughes,,
Lisa Gill,F,
John Crowe Ransom,M,
Declan Ryan,M,
Paul Foster Johnson,M,
Elena Shvarts,F,
Deborah Cummins,F,
Beth Bachmann,F,
Ronald Johnson,M,
Mary Jo Salter,F,
Jaswinder Bolina,M,
Emily Warn,F,
Annette M'Baye,F,
David Dominguez,M,
Trish Dugger,F,
Joanne Diaz,F,
Judith Kitchen,F,
Grace Paley,F,
Durs Grünbein,M,
Mirza Asadullah Khan Ghalib,F,
Kelly Cherry,F,
Amaud Jamaul Johnson,M,
Laura Mullen,F,
Susan M. Schultz,F,
Kevin Griffith,M,
Lynne Thompson,F,
A. F. Moritz,M,
Sir Edward Dyer,M,
Allan Peterson,M,
Tim Upperton,M,
Zilka Joseph,F,
Khadijah Queen,F,
Lisa Grove,F,
Caitlin Doyle,F,
Joel Brouwer,M,
Eugénio de Andrade,M,
Pierre Martory,M,
